Communication,Nodes,Processes,Size,Communication-time,Operations-time,Total-time
0,1,1,2050,0.043648,0.732266,0.775914
0,1,1,2050,0.044368,0.730937,0.775306
0,1,1,2050,0.043947,0.731205,0.775151
0,1,1,2050,0.044078,0.732220,0.776298
0,1,1,2050,0.043908,0.743105,0.787013
0,1,1,4098,0.174129,2.713468,2.887597
0,1,1,4098,0.173694,2.709081,2.882775
0,1,1,4098,0.174843,2.703825,2.878667
0,1,1,4098,0.174069,2.699374,2.873442
0,1,1,4098,0.174248,2.706315,2.880563
0,1,2,2050,0.044034,0.743557,0.787591
0,1,2,2050,0.044135,0.731127,0.775261
0,1,2,2050,0.043988,0.729034,0.773021
0,1,2,2050,0.044367,0.736220,0.780587
0,1,2,2050,0.044045,0.746093,0.790138
0,1,2,4098,0.174348,2.696722,2.871070
0,1,2,4098,0.179935,2.724304,2.904240
0,1,2,4098,0.176209,2.713907,2.890116
0,1,2,4098,0.173797,2.725173,2.898970
0,1,2,4098,0.173905,2.718425,2.892330
0,1,16,2050,0.043970,0.738518,0.782489
0,1,16,2050,0.044042,0.733898,0.777941
0,1,16,2050,0.044094,0.737883,0.781977
0,1,16,2050,0.044158,0.734839,0.778997
0,1,16,2050,0.043984,0.729491,0.773475
0,1,16,4098,0.173942,2.719584,2.893527
0,1,16,4098,0.180293,2.717778,2.898072
0,1,16,4098,0.174757,2.718216,2.892973
0,1,16,4098,0.174379,2.728592,2.902971
0,1,16,4098,0.174261,2.730136,2.904397
0,1,64,2050,0.043972,0.738132,0.782104
0,1,64,2050,0.043994,0.736085,0.780080
0,1,64,2050,0.044034,0.729856,0.773890
0,1,64,2050,0.044142,0.742992,0.787134
0,1,64,2050,0.044161,0.733193,0.777354
0,1,64,4098,0.174073,2.726146,2.900219
0,1,64,4098,0.180788,2.709271,2.890059
0,1,64,4098,0.174610,2.741603,2.916213
0,1,64,4098,0.174392,2.717117,2.891509
0,1,64,4098,0.174127,2.714223,2.888350
0,2,1,2050,1.475462,0.371954,1.847417
