Communication;Nodes;Processes;Size;Communication-time;Operations-time;Total-time;
0;1;;2050;0.062768;0.747674;0.810442;
0;1;;2050;0.044570;0.733174;0.777744;
0;1;;2050;0.044700;0.741118;0.785818;
0;1;;2050;0.044399;0.743382;0.787781;
0;1;;2050;0.044128;0.744996;0.789124;
0;1;;4098;0.180154;2.749062;2.929216;
0;1;;4098;0.177877;2.738033;2.915910;
0;1;;4098;0.176945;2.728441;2.905385;
0;1;;4098;0.176176;2.734989;2.911164;
0;1;;4098;0.175639;2.714842;2.890481;
0;1;;2050;0.044590;0.739651;0.784241;
0;1;;2050;0.044042;0.736359;0.780401;
0;1;;2050;0.044096;0.738115;0.782212;
0;1;;2050;0.044279;0.743472;0.787751;
0;1;;2050;0.044355;0.739917;0.784272;
0;1;;4098;0.176879;2.714880;2.891759;
0;1;;4098;0.175120;2.710149;2.885269;
0;1;;4098;0.175721;2.715854;2.891575;
0;1;;4098;0.175591;2.724020;2.899611;
0;1;;4098;0.176811;2.719340;2.896151;
0;1;;2050;0.043829;0.735409;0.779238;
0;1;;2050;0.043818;0.736804;0.780622;
0;1;;2050;0.044144;0.735480;0.779624;
0;1;;2050;0.044364;0.735970;0.780334;
0;1;;2050;0.044302;0.737395;0.781696;
0;1;;4098;0.176516;2.715324;2.891840;
0;1;;4098;0.179193;2.719791;2.898984;
0;1;;4098;0.175217;2.709207;2.884425;
0;1;;4098;0.175656;2.711681;2.887337;
0;1;;4098;0.175307;2.716863;2.892170;
0;1;;2050;0.043970;0.736752;0.780721;
0;1;;2050;0.043871;0.742512;0.786384;
0;1;;2050;0.043913;0.739089;0.783003;
0;1;;2050;0.043937;0.738855;0.782793;
0;1;;2050;0.043911;0.734876;0.778787;
0;1;;4098;0.176454;2.708534;2.884988;
0;1;;4098;0.175707;2.712522;2.888228;
0;1;;4098;0.175306;2.725202;2.900508;
0;1;;4098;0.175347;2.725032;2.900379;
0;1;;4098;0.174757;2.709895;2.884652;
0;2;;2050;1.473393;0.367022;1.840415;
0;2;;2050;1.521889;0.367919;1.889808;
0;2;;2050;1.471889;0.367643;1.839532;
0;2;;2050;1.473400;0.368732;1.842132;
0;2;;2050;1.478037;0.370280;1.848317;
0;2;;4098;5.942709;1.358133;7.300842;
0;2;;4098;5.889701;1.355955;7.245657;
0;2;;4098;5.874129;1.364877;7.239007;
0;2;;4098;5.886395;1.360135;7.246530;
0;2;;4098;5.882720;1.358303;7.241023;
0;2;;2050;0.047875;0.372963;0.420837;
0;2;;2050;0.048910;0.371761;0.420671;
0;2;;2050;0.048602;0.370869;0.419472;
0;2;;2050;0.048201;0.372677;0.420877;
0;2;;2050;0.048010;0.372389;0.420399;
0;2;;4098;0.192842;1.364593;1.557435;
0;2;;4098;0.193599;1.362393;1.555992;
0;2;;4098;0.192955;1.366501;1.559456;
0;2;;4098;0.192666;1.364419;1.557085;
0;2;;4098;0.191324;1.365667;1.556990;
0;2;;2050;0.048779;0.370843;0.419622;
0;2;;2050;0.048518;0.370517;0.419034;
0;2;;2050;0.047970;0.371561;0.419530;
0;2;;2050;0.048173;0.371027;0.419200;
0;2;;2050;0.048838;0.371250;0.420088;
0;2;;4098;0.190130;1.368219;1.558350;
0;2;;4098;0.193832;1.367754;1.561586;
0;2;;4098;0.193320;1.365646;1.558967;
0;2;;4098;0.191881;1.364459;1.556340;
0;2;;4098;0.192510;1.363436;1.555946;
0;2;;2050;0.047849;0.370684;0.418534;
0;2;;2050;0.047882;0.371794;0.419675;
0;2;;2050;0.049012;0.371279;0.420291;
0;2;;2050;0.048506;0.370178;0.418684;
0;2;;2050;0.047850;0.370242;0.418093;
0;2;;4098;0.193045;1.363724;1.556769;
0;2;;4098;0.190777;1.364152;1.554929;
0;2;;4098;0.193231;1.365631;1.558862;
0;2;;4098;0.192620;1.365699;1.558319;
0;2;;4098;0.192631;1.365051;1.557682;
0;8;;2050;1.490945;0.096256;1.587201;
0;8;;2050;1.479264;0.096235;1.575499;
0;8;;2050;1.521962;0.104125;1.626087;
0;8;;2050;1.566156;0.104674;1.670830;
0;8;;2050;1.488511;0.096811;1.585322;
0;8;;4098;5.926322;0.357351;6.283673;
0;8;;4098;5.931848;0.356730;6.288578;
0;8;;4098;5.942892;0.358016;6.300908;
0;8;;4098;6.107272;0.395431;6.502704;
0;8;;4098;5.932902;0.357436;6.290339;
0;8;;2050;1.537987;0.096301;1.634288;
0;8;;2050;1.484154;0.096309;1.580463;
0;8;;2050;1.480216;0.096161;1.576376;
0;8;;2050;1.484198;0.096388;1.580585;
0;8;;2050;1.485565;0.096361;1.581926;
0;8;;4098;5.943069;0.357904;6.300973;
0;8;;4098;6.137417;0.394037;6.531455;
0;8;;4098;6.124327;0.384541;6.508867;
0;8;;4098;6.108602;0.383363;6.491965;
0;8;;4098;6.106650;0.395129;6.501779;
0;8;;2050;0.677520;0.189296;0.866816;
